,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign woman students, persons","Number of paid training foreign man students, persons"
"Number of paid training man students, persons",0.9247663760364521,0.9736828593504571,0.8743071643867586,0.9214200355706653,0.9320569043878086,0.963763832091744,0.9586965416301405,0.9151778358679562,0.9290262729975419,0.9611560576426171,1.0,0.9616989584709659,0.9578609339050588,0.8131338468874729,0.7530471338909415,0.8864551073064382,0.8957676069640452,0.6057807777642865,0.6470783271190634,0.900404912057534,0.9078956812277345
"Number of woman graduates, persons",0.8932365215644342,0.9550300582189799,0.836666837229757,0.9124423354898228,0.9030197959492153,0.9404253533747731,0.9370514373044211,0.891232330636162,0.8938342381582517,0.9405976090206978,0.9616989584709659,1.0,0.9588030889209609,0.7699871111849144,0.6566484020768211,0.866295744321308,0.8338419934136906,0.608322916331041,0.5741951777106602,0.8717513869932836,0.8565584771542735
"Number of man graduates, persons",0.8787745295555489,0.9370754161118039,0.8426334888163939,0.8987505580666256,0.8815686758315826,0.9207991338442862,0.9152818026361654,0.9021795268209947,0.9132788369349113,0.90773327807215,0.9578609339050588,0.9588030889209609,1.0,0.7660135037665586,0.6827234816058068,0.8615004829519141,0.856912201662129,0.5903680751688661,0.6246473492532709,0.8742354860993307,0.8662259238714796
"Number of foreign woman entrants, persons",0.8792023297542779,0.8703088645864994,0.8940377870710929,0.8500494804129691,0.8641465869470891,0.846572391092193,0.8525469693920109,0.8917599443084423,0.8154631556388514,0.8276270478909029,0.8131338468874729,0.7699871111849144,0.7660135037665586,1.0,0.9047362314555386,0.9472938166145003,0.9306733000566498,0.7159427832291448,0.7288228983950583,0.9278336174230298,0.9203268799887973
"Number of foreign man entrants, persons",0.857639091563456,0.8147190139101185,0.9040873620590588,0.8184889294336696,0.8317586913246852,0.7797189412418241,0.7915327832157418,0.8632023163503989,0.8043796801130481,0.7561278298379748,0.7530471338909415,0.6566484020768211,0.6827234816058068,0.9047362314555386,1.0,0.8214388822233383,0.9432709209111039,0.6376148933526944,0.7960912685425718,0.7961507659589072,0.9094828344689724
"Number of foreign woman students, persons",0.9130911711156057,0.9136021226704394,0.9050312514826986,0.8685553984835466,0.9056701547316105,0.902051624971873,0.9238736254146305,0.9351537039364146,0.8634099649595592,0.907728479317501,0.8864551073064382,0.866295744321308,0.8615004829519141,0.9472938166145003,0.8214388822233383,1.0,0.9296838251944101,0.8050023710987844,0.7382266811556737,0.9547910656456775,0.9152165813680453
"Number of foreign man students, persons",0.9364650102468022,0.9277044399281945,0.9607876065124475,0.9335697192840794,0.9174458130608337,0.8869666008349038,0.9096241984788295,0.9522808799023077,0.9320509120469255,0.8827511662965444,0.8957676069640452,0.8338419934136906,0.856912201662129,0.9306733000566498,0.9432709209111039,0.9296838251944101,1.0,0.7092737280533941,0.8223390535628282,0.9072581179227449,0.9729600574912223
"Number of state order training foreign woman students, persons",0.6083227615484131,0.6155577634793781,0.6635371832582715,0.5774099891178123,0.5821703201519595,0.6121579599943154,0.6393207880211129,0.6939619090124747,0.6043119304570336,0.6118536660819933,0.6057807777642865,0.608322916331041,0.5903680751688661,0.7159427832291448,0.6376148933526944,0.8050023710987844,0.7092737280533941,1.0,0.7900580985508012,0.5922426671730795,0.6061508117156246
"Number of state order training foreign man students, persons",0.6847080838439061,0.6514327603554482,0.7772456806582607,0.6572411661847175,0.6446332583172576,0.6218768434004497,0.6527661398560457,0.7533791618259876,0.7675821789900256,0.6091268815769507,0.6470783271190634,0.5741951777106602,0.6246473492532709,0.7288228983950583,0.7960912685425718,0.7382266811556737,0.8223390535628282,0.7900580985508012,1.0,0.6067484773860156,0.6686796810032282
"Number of paid training foreign woman students, persons",0.9353072920483512,0.9323759188202904,0.896693655854468,0.8903102758450668,0.938332856737352,0.9183920378247409,0.9344190735063596,0.9223595821033964,0.8698418602070108,0.9262546087827359,0.900404912057534,0.8717513869932836,0.8742354860993307,0.9278336174230298,0.7961507659589072,0.9547910656456775,0.9072581179227449,0.5922426671730795,0.6067484773860156,1.0,0.9392822709245536
"Number of paid training foreign man students, persons",0.9458028660691777,0.9478622562063482,0.9400231502660218,0.9531690334605477,0.9372166897230487,0.9066248149013141,0.9236942368973923,0.9385949376135174,0.9063935395481725,0.9062917970792865,0.9078956812277345,0.8565584771542735,0.8662259238714796,0.9203268799887973,0.9094828344689724,0.9152165813680453,0.9729600574912223,0.6061508117156246,0.6686796810032282,0.9392822709245536,1.0
